sort
3.89E-05
0.0001345
0.0002818
0.0004317
0.0006195
0.0008825
0.001178
0.0015208
0.0017093
0.0022216
0.0023323
0.0025286
0.0028249
0.0030678
0.0033587
0.0039091
0.004245
0.0048002
0.0054634
0.0059211
0.0065923
0.00734
0.0079523
0.0087921
0.0111495
0.0104788
0.0112522
0.0121356
0.0132003
0.0143711
0.0151932
0.0162385
0.0173532
0.0187335
0.0198346
0.0213116
0.0221953
0.0234915
0.025021
0.026398
0.0278221
0.0293787
0.031043
0.0327701
0.0343153
0.0360767
0.0378502
0.0398538
0.0417226
0.0437672
0.0456734
0.0479501
0.0498151
0.0518219
0.0543366
0.0562069
0.0587074
0.0612431
0.0635537
0.0658467
0.0687566
0.0709382
0.0737109
0.076173
0.0792219
0.0819304
0.0848452
0.0883774
0.0916004
0.0946769
0.0971117
0.0999666
0.102972
0.106596
0.109693
0.112963
0.116399
0.119785
0.122826
0.126534
0.130078
0.133605
0.137744
0.140796
0.145049
0.148388
0.151974
0.156652
0.161463
0.165011
0.168997
0.173382
0.176933
0.179912
0.184353
0.189525
0.195758
0.198607
0.204217
0.207808
